feature,mean_abs_shap_treatment,mean_abs_shap_control,mean_abs_shap_uplift
n_transactions_pre,0.06873226664839881,0.07413336234600675,0.008167791458551914
has_redeemed,0.012473734017504911,0.006973927109062645,0.005499806908442315
n_product_lines,0.03089223435141159,0.03338268264572669,0.005254868643860838
age,0.008701496044714313,0.0037220715150383652,0.005128023182396107
avg_basket_value_pre,0.02578225578029088,0.0224186238888304,0.00449620492919458
total_revenue_pre,0.012573482299654494,0.01461111757917063,0.00383375215674643
total_quantity,0.018758660007760233,0.021048391948114597,0.003822705487182875
tenure_days,0.01102010817891135,0.008603273636835147,0.0036295091773146174
n_distinct_products,0.009374319776209032,0.0122668883937975,0.0033468394189547952
total_iss_sum,0.012562755405694738,0.014130597053713043,0.0029477456731050056
recency_days_pre,0.01753702843735672,0.01745584506741467,0.0026079895890318353
total_regular_points_spent_pre,0.0027691037036472257,0.0013315261707993822,0.0023572445128628816
total_express_points_spent_pre,0.0015052596417409478,0.0006798243316090916,0.0021839599855860486
total_regular_points_received_pre,0.0035394017521235602,0.004032099291116499,0.0017764922836786604
share_own_trademark_lines,0.003411838344006744,0.003671809733155643,0.0015017017078287286
gender_U,0.001329439923228336,0.0005451543357828262,0.0009151137337611733
gender_F,0.0008312398446544362,0.0002131203504964312,0.0006803992243141451
share_alcohol_lines,0.0009593802790144733,0.0008567552018192762,0.0006336730492470273
gender_M,0.0001752719637750222,0.0002919025338867819,0.00020259213831045356
is_new_customer,0.00010722181468876493,0.00010770359402282792,3.752039709825688e-05
total_express_points_received_pre,2.1922492336421212e-05,2.0473059922402573e-05,1.6582698031580127e-05
